id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
65680301,2008,4,3,722.0,1,1,1945,7,2,1.0,,2.0
66090101,2009,5,3,2953.0,2,1,1947,5,1,2.0,,2.0
66130301,2007,3,5,1488.0,1,2,1984,7,5,1.0,,2.0
67480101,2013,9,3,2982.0,2,1,1938,5,1,1.0,,1.0
67970401,2010,6,3,4513.0,1,1,1974,5,5,2.0,,2.0
68130902,2013,9,3,2304.0,1,2,1994,6,5,1.0,,2.0
68760601,2013,9,4,2249.0,1,2,1984,7,5,2.0,,1.0
68890101,2015,11,3,3140.0,2,1,1934,7,1,1.0,,1.0
84550701,2015,11,5,6509.0,3,1,1957,5,1,1.0,,2.0
85341101,2017,13,7,1900.0,1,1,1986,7,5,2.0,,2.0
85380701,2012,8,7,823.0,1,2,1931,2,2,1.0,,1.0
85700701,2016,12,3,1810.0,1,2,1957,4,3,2.0,,1.0
86270701,2012,8,3,685.0,1,2,1934,5,2,1.0,,2.0
86350701,2014,10,3,2559.0,2,1,1954,5,1,1.0,,2.0
89070701,2016,12,6,5090.0,1,1,1980,8,1,2.0,,2.0
89270701,2014,10,6,2106.0,2,1,1942,5,1,2.0,,1.0
89350701,2017,13,6,1321.0,2,1,1935,5,1,1.0,,2.0
89560701,2011,7,7,634.0,1,2,1934,3,2,1.0,,2.0
90630701,2013,9,7,1144.0,1,2,1937,2,2,2.0,,1.0
90641101,2016,12,7,5964.0,2,2,1969,5,3,1.0,,2.0
90780701,2015,11,7,1992.0,2,1,1941,3,1,2.0,,2.0
91020701,2015,11,3,6659.0,4,1,1981,5,1,1.0,,1.0
92061101,2015,11,3,3024.0,1,1,1989,6,5,2.0,,1.0
92061301,2017,13,7,10056.0,2,1,1986,7,1,2.0,,2.0
92270701,2012,8,3,7802.0,3,1,1955,7,1,1.0,,2.0
92521101,2017,13,4,4558.0,1,1,1988,6,5,2.0,,2.0
92690701,2017,13,4,9380.0,4,1,1979,7,1,1.0,,2.0
93590701,2015,11,5,7555.0,3,1,1951,5,1,1.0,,2.0
94500701,2014,10,5,2988.0,2,1,1969,6,1,2.0,,2.0
94500701,2016,12,5,4588.0,2,1,1969,6,1,2.0,,2.0
96810701,2011,7,6,2210.0,4,1,1965,4,1,2.0,,2.0
97960701,2016,12,6,1121.0,2,1,1933,3,1,2.0,,2.0
