id,year,wave,region,income,family_member,gender,year_born,education_level,marriage,religion,reason_none_worker,region_movement
38850101,2011,7,2,5482.0,4,1,1968,8,1,1.0,,7.0
38890101,2012,8,2,2122.0,1,1,1967,7,5,2.0,,7.0
38920101,2007,3,2,6622.0,5,1,1951,7,1,2.0,,5.0
39030101,2009,5,2,1032.0,3,1,1968,5,1,2.0,,6.0
39040101,2008,4,2,3903.0,4,1,1961,5,1,2.0,,5.0
39090101,2008,4,2,1326.0,2,1,1941,5,1,1.0,,5.0
39260101,2008,4,2,1312.0,1,1,1978,5,5,2.0,,6.0
39450101,2016,12,2,2264.0,2,2,1937,5,1,1.0,,6.0
39580101,2006,2,2,6915.0,5,1,1966,5,1,1.0,,3.0
39590101,2006,2,2,3264.0,2,1,1968,5,1,1.0,,5.0
39840101,2009,5,2,5450.0,4,1,1966,7,1,2.0,,3.0
39870201,2011,7,2,13844.0,2,1,1972,7,1,2.0,,5.0
39880101,2009,5,2,2138.0,2,1,1949,3,1,2.0,,3.0
39950101,2006,2,2,4963.218087,2,1,1928,5,1,1.0,,4.0
40310101,2006,2,2,517.0,1,2,1946,3,2,1.0,,6.0
40320101,2006,2,2,465.0,1,2,1928,2,2,2.0,,5.0
40620101,2010,6,2,3962.0,2,1,1978,5,5,2.0,,5.0
40880101,2006,2,2,1638.0,3,1,1972,5,1,2.0,,5.0
40960601,2014,10,2,1353.0,1,2,1966,4,5,1.0,,3.0
41050101,2017,13,2,45608.0,6,1,1971,5,1,1.0,,4.0
41120101,2006,2,2,1125.0,1,1,1973,5,5,2.0,,5.0
41370101,2013,9,2,4506.0,4,1,1969,7,1,2.0,,7.0
41510101,2006,2,2,1430.0,2,2,1970,5,3,1.0,,4.0
41730101,2009,5,2,5806.0,3,1,1969,7,1,1.0,,5.0
41950101,2007,3,2,2704.0,3,1,1975,7,1,1.0,,5.0
42020101,2014,10,2,5144.0,4,1,1971,8,1,1.0,,7.0
42090101,2006,2,2,922.0,1,1,1971,5,5,2.0,,6.0
42200101,2017,13,2,2785.0,2,1,1958,5,1,1.0,,5.0
42280101,2012,8,2,2283.0,1,2,1983,5,5,2.0,,7.0
42430101,2006,2,2,2040.0,3,1,1966,4,1,1.0,,6.0
42880101,2006,2,2,2060.0,2,1,1955,3,1,1.0,,6.0
42900101,2015,11,2,1029.0,1,2,1943,3,2,1.0,,6.0
42990801,2013,9,2,3718.0,3,1,1976,8,1,1.0,,7.0
43050101,2007,3,2,2662.0,2,1,1945,7,2,2.0,,6.0
43290101,2017,13,2,1453.0,2,1,1937,2,1,1.0,,6.0
43320101,2008,4,2,4058.0,4,1,1971,5,1,2.0,,6.0
43580101,2008,4,2,3081.0,4,1,1969,6,1,2.0,,5.0
43620101,2009,5,2,1070.0,1,2,1942,5,2,1.0,,3.0
43690101,2009,5,2,693.0,1,1,1935,5,2,2.0,,3.0
43850101,2014,10,2,5468.0,4,1,1966,7,1,2.0,,4.0
44160101,2006,2,2,784.0,2,1,1928,4,1,2.0,,5.0
44300101,2013,9,2,4269.0,4,1,1961,5,1,1.0,,5.0
44550101,2010,6,2,4964.0,4,1,1975,7,1,1.0,,6.0
44550101,2015,11,2,7718.0,5,1,1975,7,1,1.0,,6.0
44760101,2013,9,2,5203.0,4,1,1975,7,1,1.0,,5.0
44930101,2012,8,2,-1837.0,4,1,1970,5,3,2.0,,6.0
45330101,2015,11,2,593.0,1,1,1931,2,2,2.0,,6.0
45640101,2010,6,2,5362.0,4,1,1974,8,1,2.0,,3.0
46550101,2016,12,1,1350.0,1,2,1930,3,2,1.0,,6.0
46720201,2011,7,1,1442.0,1,1,1976,8,5,1.0,,6.0
47480101,2015,11,2,2651.0,4,1,1978,6,1,2.0,,6.0
47520101,2015,11,2,2439.0,1,1,1965,5,3,2.0,,6.0
47521001,2015,11,2,1249.0,3,2,1968,5,3,2.0,,6.0
47590301,2007,3,2,3504.0,2,1,1978,8,1,1.0,,5.0
47590301,2015,11,2,5372.0,4,1,1978,8,1,1.0,,7.0
47640101,2015,11,2,4490.0,3,2,1969,6,3,1.0,,6.0
47780101,2014,10,2,1232.0,2,2,1940,2,3,1.0,,5.0
48410101,2012,8,2,19841.0,4,1,1970,7,1,2.0,,6.0
48440101,2009,5,2,3158.0,5,1,1974,5,1,1.0,,6.0
48620401,2010,6,2,4250.0,2,1,1981,7,1,2.0,,5.0
49170101,2012,8,1,11827.0,3,1,1958,8,2,1.0,,5.0
49270101,2008,4,2,3253.0,1,1,1960,6,3,1.0,,5.0
49551001,2016,12,2,2455.0,1,2,1995,5,5,2.0,,5.0
49580701,2014,10,1,2383.0,1,1,1981,7,5,1.0,,7.0
49800101,2014,10,2,3913.0,4,1,1979,5,1,1.0,,5.0
50190201,2006,2,1,6910.0,2,1,1977,6,1,1.0,,5.0
50190202,2007,3,1,1380.0,1,1,1980,7,1,2.0,,5.0
50190301,2010,6,1,4123.0,1,2,1982,7,5,2.0,,5.0
50670602,2012,8,1,2110.0,1,1,1988,7,5,2.0,,7.0
50670801,2013,9,1,2291.0,1,2,1992,6,5,2.0,,5.0
51430401,2017,13,2,9724.0,2,1,1978,7,1,2.0,,5.0
52011201,2016,12,2,2844.0,1,2,1994,6,5,1.0,,5.0
52081001,2014,10,1,2748.0,1,2,1992,6,5,2.0,,5.0
52581201,2017,13,1,3115.0,1,2,1993,7,5,2.0,,7.0
53310601,2014,10,1,11528.0,2,1,1984,7,1,2.0,,7.0
53961201,2017,13,2,2462.0,1,1,1995,5,5,2.0,,7.0
54170801,2014,10,1,1787.0,1,2,1990,7,5,2.0,,3.0
54220401,2012,8,2,3550.0,3,1,1974,7,1,2.0,,7.0
54220501,2013,9,1,7963.0,4,1,1981,6,1,2.0,,7.0
54540401,2011,7,2,2916.0,2,1,1985,6,1,2.0,,7.0
54890301,2009,5,1,1302.0,1,2,1987,6,5,2.0,,7.0
55570101,2012,8,1,739.0,1,2,1935,2,2,2.0,,7.0
55780101,2007,3,1,1316.0,1,1,1930,3,4,2.0,,7.0
55810201,2009,5,2,1943.0,1,1,1982,6,5,1.0,,7.0
56620201,2014,10,1,6415.0,2,1,1983,7,1,2.0,,7.0
56700801,2013,9,1,3697.0,1,1,1987,7,5,1.0,,6.0
58480101,2011,7,2,912.0,1,2,1930,2,2,2.0,,7.0
58980501,2010,6,2,3663.0,5,1,1980,5,1,2.0,,7.0
61140101,2010,6,2,5031.0,4,1,1972,6,1,2.0,,4.0
61170801,2014,10,2,2315.0,2,1,1982,8,1,1.0,,3.0
61520101,2010,6,2,2729.0,2,1,1954,4,1,2.0,,4.0
61740501,2011,7,1,2763.0,1,2,1985,7,5,2.0,,4.0
61980101,2010,6,2,1402.0,2,1,1939,3,1,1.0,,4.0
62900101,2010,6,2,5121.0,5,1,1959,8,1,1.0,,4.0
63050101,2010,6,2,9048.0,5,1,1958,5,1,1.0,,4.0
63230101,2010,6,2,1048.0,2,2,1941,3,1,2.0,,4.0
63901301,2017,13,2,3804.0,1,1,1990,7,5,2.0,,4.0
65050301,2015,11,2,2193.0,2,1,1979,7,1,2.0,,7.0
65090601,2011,7,1,2710.0,1,2,1989,6,5,1.0,,4.0
65310501,2012,8,2,5621.0,3,1,1979,7,1,1.0,,3.0
66090101,2010,6,2,3718.0,2,1,1947,5,1,2.0,,3.0
66630401,2012,8,1,3240.0,1,2,1984,7,5,2.0,,3.0
68130902,2016,12,2,1842.0,1,2,1994,6,5,1.0,,3.0
70320101,2007,3,1,1980.0,1,2,1979,7,5,2.0,,4.0
70680101,2011,7,2,5077.0,3,1,1944,4,1,1.0,,7.0
70720101,2009,5,1,1134.0,1,2,1968,6,5,1.0,,6.0
81180701,2014,10,1,1574.0,4,1,1974,5,1,1.0,,6.0
82611301,2017,13,1,3039.6,1,2,1994,7,5,2.0,,3.0
84550701,2014,10,2,6654.0,3,1,1957,5,1,1.0,,5.0
85110701,2013,9,2,2111.0,3,1,1940,5,1,1.0,,7.0
85700701,2017,13,1,357.0,1,2,1957,4,3,2.0,,3.0
86350701,2015,11,2,2634.0,2,1,1954,5,1,1.0,,3.0
88930701,2016,12,2,3755.0,2,1,1958,5,1,1.0,,5.0
89070701,2017,13,2,5074.0,1,1,1980,8,5,2.0,,6.0
89980701,2013,9,2,2692.0,2,2,1944,3,2,1.0,,5.0
90010701,2015,11,2,1553.0,2,1,1955,3,1,2.0,,5.0
90520701,2013,9,2,1993.0,1,1,1957,5,5,2.0,,5.0
90630701,2016,12,1,13451.0,2,1,1958,8,1,1.0,,5.0
91020701,2016,12,1,7497.0,4,1,1981,5,1,2.0,,3.0
92521101,2016,12,2,2903.0,1,1,1988,6,5,2.0,,4.0
93450701,2014,10,2,1838.0,2,1,1943,4,1,1.0,,6.0
93590701,2014,10,2,5840.0,3,1,1951,5,1,1.0,,5.0
94500701,2015,11,2,3502.0,2,1,1969,6,1,2.0,,5.0
95120701,2013,9,1,921.0,1,2,1959,3,3,1.0,,6.0
97780701,2012,8,1,1597.0,1,1,1950,4,3,1.0,,5.0
97960701,2017,13,2,3042.0,2,1,1933,3,1,2.0,,6.0
